s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,loc
508,706,595,600,555,584,474,535,769,1055,413,474,792,899,391,464,362,467,545,613,727,380,2156,585,1286,223,695,1
510,707,595,600,557,582,472,536,770,1055,414,475,792,898,390,465,363,466,544,613,726,379,2159,585,1286,223,695,1
508,706,595,600,555,582,474,536,769,1054,416,476,792,899,390,464,364,467,545,613,726,378,2156,586,1285,223,696,1
507,707,595,598,555,584,472,536,769,1054,415,475,792,899,390,464,362,467,544,613,727,378,2155,585,1285,223,695,1
505,705,595,604,555,583,471,535,769,1055,415,476,792,899,390,464,363,467,545,613,726,378,2157,585,1286,223,696,1
505,706,595,598,555,582,473,536,769,1054,414,474,792,899,391,463,361,467,544,613,724,378,2158,589,1284,222,695,1
510,706,595,599,554,584,474,538,770,1054,415,475,792,899,388,464,362,466,545,613,727,379,2155,591,1287,223,695,1
510,707,597,605,555,582,471,536,771,1053,416,474,792,899,388,465,362,467,545,613,727,379,2157,586,1286,223,695,1
508,707,597,598,554,586,472,538,769,1055,415,475,792,899,390,466,362,466,545,613,726,380,2157,585,1285,223,695,1
510,706,595,600,554,584,473,536,771,1056,415,476,792,899,387,464,362,464,545,612,727,378,2156,584,1286,223,695,1
510,707,595,599,554,585,473,537,770,1055,414,474,792,899,388,466,363,464,545,613,729,379,2157,586,1284,223,696,1
512,706,598,602,554,583,474,536,772,1056,414,474,792,899,390,464,362,463,545,612,726,378,2159,585,1286,222,695,1
513,707,595,603,555,583,473,536,771,1055,415,476,792,898,390,466,363,463,543,612,726,379,2156,591,1286,223,696,1
512,707,596,601,555,585,473,535,772,1054,414,474,792,899,391,466,364,463,545,613,727,379,2156,589,1286,222,694,1
513,706,597,603,554,584,475,537,772,1054,415,474,792,899,390,465,362,464,545,613,726,379,2158,586,1287,223,696,1
510,708,595,600,556,581,474,536,769,1054,415,476,792,899,390,464,363,465,544,612,728,379,2157,586,1286,223,696,1
510,706,595,600,556,584,473,535,771,1055,415,475,792,899,391,464,363,467,545,612,727,380,2155,586,1287,222,693,1
510,706,595,600,557,586,474,536,769,1057,416,476,792,899,390,467,362,467,545,613,726,379,2157,584,1286,223,695,1
510,706,595,605,553,583,474,534,769,1055,416,474,792,899,387,466,364,467,546,613,726,378,2156,590,1285,223,694,1
511,706,595,605,557,584,474,540,772,1053,414,476,791,899,389,463,366,467,546,613,726,379,2155,586,1285,223,696,1
513,705,595,599,553,584,474,537,770,1055,416,476,792,899,391,466,367,467,545,612,729,379,2156,586,1286,223,695,1
513,706,597,600,554,583,472,537,771,1054,416,475,792,899,387,467,364,468,545,613,727,378,2158,584,1285,223,695,1
513,707,597,600,554,583,474,536,770,1054,413,475,792,899,385,463,365,467,545,612,727,380,2157,590,1286,223,695,1
511,706,597,600,556,583,471,536,769,1053,414,476,792,899,390,466,363,467,545,613,726,379,2155,585,1286,223,697,1
512,705,595,606,556,583,475,538,770,1055,415,474,792,899,391,464,362,467,545,612,726,380,2156,585,1285,223,695,1
510,707,595,600,555,585,476,535,769,1054,414,476,792,899,390,465,363,467,545,614,727,379,2158,591,1286,222,696,1
511,707,596,605,555,585,473,536,770,1055,414,475,792,899,390,463,362,467,546,613,728,379,2157,590,1286,223,695,1
510,707,595,605,555,581,472,536,770,1054,414,475,792,899,391,464,362,467,545,613,726,380,2154,590,1288,223,696,1
509,706,595,598,557,583,472,539,769,1055,414,474,792,898,390,466,362,467,545,613,728,378,2158,585,1285,223,694,1
508,710,598,603,556,583,474,535,769,1056,415,474,792,898,388,464,361,466,545,613,729,378,2156,586,1286,223,693,1
506,706,597,600,555,582,472,538,770,1054,417,476,792,899,390,464,363,466,545,613,727,379,2155,585,1285,223,695,1
505,706,595,600,554,582,470,535,771,1054,416,474,792,899,391,466,361,467,546,613,729,379,2156,585,1287,223,694,1
505,707,596,603,555,582,473,534,771,1054,415,477,792,898,388,463,362,467,546,612,726,379,2158,584,1286,222,694,1
505,706,595,600,554,583,472,535,772,1054,414,475,792,899,390,465,362,466,543,612,727,379,2156,591,1287,223,696,1
508,706,595,598,554,581,471,537,769,1054,414,475,792,899,391,465,363,466,545,613,726,379,2155,590,1285,222,694,1
509,707,595,599,556,585,471,535,769,1054,416,476,792,899,390,463,363,466,544,612,723,378,2157,585,1286,223,695,1
510,707,596,600,555,584,473,536,771,1054,416,476,792,899,387,465,364,466,545,612,728,379,2156,584,1285,223,695,1
511,706,595,601,557,583,473,535,769,1054,415,475,792,899,390,465,363,466,544,613,727,379,2157,586,1287,223,697,1
509,707,595,598,555,584,473,538,771,1054,415,475,791,899,390,466,363,467,545,612,727,378,2158,586,1286,223,696,1
509,706,597,600,554,582,473,535,770,1054,416,476,791,899,390,466,364,466,544,612,728,379,2156,586,1285,223,695,1
507,706,595,602,554,582,475,538,770,1053,415,475,792,899,391,466,363,466,544,612,727,380,2156,584,1286,223,696,1
505,706,597,603,556,584,471,535,769,1053,415,475,792,899,388,466,364,467,546,612,726,379,2158,584,1287,223,693,1
505,706,595,602,554,582,474,535,769,1054,415,477,792,899,387,464,363,466,543,613,725,379,2157,586,1286,223,695,1
504,707,595,599,554,583,476,537,771,1055,414,475,792,899,390,465,360,466,545,612,726,380,2156,585,1285,223,696,1
